property_id,propertyType,price,size,rooms,bathrooms,municipality,neighborhood,neighborhood_id,district,latitude,longitude,hasLift,exterior,status,distance,data_year
92013400,chalet,899000.0,229.0,5,3,Sant Just Desvern,,,,41.3839014,2.0737478,,false,good,1943.0,2020
92013697,flat,298000.0,99.0,4,2,Barcelona,La Marina del Port,Q3751076,Sants-Montjuïc,41.3650262,2.1384872,true,true,good,236.0,2021
92014239,flat,222500.0,73.0,3,1,Barcelona,La Bordeta,Q3753110,Sants-Montjuïc,41.3681383,2.1308276,true,false,good,229.0,2020
92014259,flat,409000.0,101.0,3,2,Sant Feliu de Llobregat,,,Roses - Castellbell,41.3807949,2.0497833,true,true,good,2672.0,2020
92014752,flat,113500.0,65.0,3,1,Cornellà de Llobregat,,,Sant Ildefons,41.3613955,2.0805688,true,true,good,2396.0,2020
92014864,flat,229000.0,137.0,4,2,Hospitalet de Llobregat,La Torrasa,,La Torrasa,41.3727965,2.1218131,false,true,renew,1967.0,2020
92014901,chalet,850000.0,229.0,3,2,Sant Cugat del Vallès,,,Arxius,41.4689859,2.0729353,,false,good,1502.0,2020
92015581,flat,300000.0,99.0,4,2,Barcelona,Les Corts,Q3296693,Les Corts,41.3808661,2.1333633,true,true,renew,2673.0,2020
92015588,flat,176500.0,76.0,3,1,Hospitalet de Llobregat,Sant Josep,,Centre,41.3619949,2.111371,false,true,renew,1816.0,2020
92015600,flat,359000.0,126.0,4,2,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3730682,2.1356204,true,true,good,1828.0,2020
92015973,flat,143000.0,76.0,4,1,Hospitalet de Llobregat,La Torrasa,,La Torrasa,41.3690072,2.1279076,false,true,good,363.0,2021
92016039,flat,219500.0,90.0,4,1,El Prat de Llobregat,,,Plaça de Catalunya,41.3205262,2.0894113,true,true,good,3106.0,2020
92016409,flat,179800.0,65.0,2,1,Barcelona,El Poble Sec - Parc de Montjuïc,Q980253,Sants-Montjuïc,41.3704006,2.1665008,,false,renew,420.0,2020
92016450,flat,186000.0,67.0,2,1,Cornellà de Llobregat,,,El Pedró,41.36538,2.076076,false,true,good,2184.0,2020
